# Daily height (in m) of Chitterne Brook at Codford, England, measured by the
# UK Environment agency.
date,min_level,avg_level,max_level
2014-01-01,0.240,0.320,0.420
2014-01-02,0.420,0.460,0.490
2014-01-03,0.500,0.520,0.580
2014-01-04,0.600,0.690,0.720
2014-01-05,0.730,0.880,0.990
2014-01-06,1.000,1.060,1.120
2014-01-07,1.140,1.190,1.220
2014-01-08,1.230,1.270,1.290
2014-01-09,1.350,1.350,1.350
2014-01-10,1.300,1.300,1.300
2014-01-11,1.220,1.240,1.250
2014-01-12,1.120,1.130,1.150
2014-01-13,1.060,1.070,1.100
2014-01-14,0.970,0.980,1.030
2014-01-15,0.930,0.950,0.970
2014-01-16,0.880,0.910,0.930
2014-01-17,0.800,0.830,0.870
2014-01-18,0.780,0.790,0.800
2014-01-19,0.770,0.790,0.800
2014-01-20,0.760,0.760,0.760
2014-01-21,0.860,0.860,0.870
2014-01-22,0.840,0.850,0.860
2014-01-23,0.860,0.870,0.870
2014-01-24,0.860,0.860,0.860
2014-01-25,0.860,0.860,0.860
2014-01-26,0.860,0.860,0.860
2014-01-27,0.860,0.860,0.860
2014-01-28,0.860,0.860,0.860
2014-01-29,0.850,0.850,0.850
2014-01-30,0.850,0.850,0.850
2014-01-31,0.840,0.850,0.850
2014-02-01,0.840,0.840,0.840
2014-02-02,0.840,0.840,0.840
2014-02-03,0.830,0.830,0.830
2014-02-04,0.830,0.830,0.830
2014-02-05,0.820,0.830,0.830
2014-02-06,0.820,0.820,0.830
2014-02-07,0.800,0.810,0.820
2014-02-08,0.800,0.800,0.800
2014-02-09,0.800,0.800,0.800
2014-02-10,0.790,0.790,0.800
2014-02-11,0.790,0.790,0.790
2014-02-12,0.780,0.780,0.790
2014-02-13,0.780,0.780,0.780
2014-02-14,0.780,0.960,1.020
2014-02-15,0.900,0.940,1.000
2014-02-16,0.880,0.880,0.880
2014-02-17,0.910,0.920,0.940
2014-02-18,0.950,0.960,0.960
2014-02-19,0.930,0.930,0.930
2014-02-20,0.910,0.910,0.910
2014-02-21,0.870,0.870,0.870
2014-02-22,0.810,0.810,0.810
2014-02-23,0.790,0.790,0.790
2014-02-24,0.750,0.750,0.750
2014-02-25,0.760,0.760,0.760
2014-02-26,0.710,0.710,0.710
2014-02-27,0.680,0.700,0.710
2014-02-28,0.670,0.680,0.690
2014-03-01,0.610,0.620,0.630
2014-03-02,0.590,0.640,0.660
2014-03-03,0.560,0.590,0.640
2014-03-04,0.530,0.540,0.550
2014-03-05,0.520,0.530,0.530
2014-03-06,0.540,0.540,0.540
2014-03-07,0.560,0.560,0.560
2014-03-08,0.570,0.570,0.570
2014-03-09,0.580,0.580,0.580
2014-03-10,0.560,0.560,0.560
2014-03-11,1.180,1.180,1.180
2014-03-12,0.520,0.520,0.520
2014-03-13,0.490,0.490,0.490
2014-03-14,0.460,0.460,0.460
2014-03-15,0.430,0.430,0.430
2014-03-16,0.410,0.410,0.410
2014-03-17,0.390,0.660,0.980
2014-03-18,0.370,0.370,0.370
2014-03-19,0.350,0.350,0.350
2014-03-20,0.330,0.330,0.330
2014-03-21,0.320,0.320,0.330
2014-03-22,0.310,0.320,0.320
2014-03-23,0.290,0.300,0.300
2014-03-24,0.280,0.280,0.290
2014-03-25,0.280,0.280,0.280
2014-03-26,0.240,0.250,0.260
2014-03-27,0.240,0.240,0.240
2014-03-28,0.230,0.230,0.230
2014-03-29,0.230,0.230,0.230
2014-03-30,0.220,0.220,0.220
2014-03-31,0.210,0.210,0.210
2014-04-01,0.200,0.200,0.200
2014-04-02,0.200,0.200,0.200
2014-04-03,0.200,0.200,0.200
2014-04-04,0.210,0.210,0.210
2014-04-05,0.190,0.190,0.190
2014-04-06,0.190,0.190,0.190
2014-04-07,0.190,0.190,0.190
2014-04-08,0.180,0.180,0.180
2014-04-09,0.180,0.180,0.180
2014-04-10,0.180,0.180,0.180
2014-04-11,0.170,0.170,0.170
2014-04-12,0.170,0.170,0.170
2014-04-13,0.170,0.170,0.170
2014-04-14,0.160,0.160,0.160
2014-04-15,0.160,0.160,0.160
2014-04-16,0.160,0.160,0.160
2014-04-17,0.160,0.160,0.160
2014-04-18,0.150,0.150,0.150
2014-04-19,0.150,0.150,0.150
2014-04-20,0.150,0.150,0.150
2014-04-21,0.160,0.160,0.160
2014-04-22,0.160,0.170,0.180
2014-04-23,0.160,0.160,0.160
2014-04-24,0.150,0.150,0.150
2014-04-25,0.140,0.140,0.140
2014-04-26,0.150,0.150,0.150
2014-04-27,0.150,0.150,0.150
2014-04-28,0.150,0.160,0.160
2014-04-29,0.150,0.150,0.150
2014-04-30,0.150,0.150,0.150
2014-05-01,0.150,0.150,0.150
2014-05-02,0.150,0.150,0.150
2014-05-03,0.150,0.150,0.150
2014-05-04,0.150,0.150,0.150
2014-05-05,0.160,0.160,0.160
2014-05-06,0.160,0.160,0.160
2014-05-07,0.160,0.160,0.160
2014-05-08,0.160,0.160,0.160
2014-05-09,0.170,0.170,0.170
2014-05-10,0.170,0.170,0.170
2014-05-11,0.170,0.170,0.170
2014-05-12,0.170,0.170,0.170
2014-05-13,0.170,0.170,0.170
2014-05-14,0.170,0.170,0.170
2014-05-15,0.170,0.170,0.170
2014-05-16,0.160,0.160,0.160
2014-05-17,0.160,0.160,0.160
2014-05-18,0.160,0.160,0.160
2014-05-19,0.160,0.160,0.160
2014-05-20,0.160,0.160,0.160
2014-05-21,0.160,0.160,0.160
2014-05-22,0.160,0.160,0.160
2014-05-23,0.160,0.160,0.170
2014-05-24,0.160,0.170,0.170
2014-05-25,0.160,0.160,0.160
2014-05-26,0.160,0.160,0.160
2014-05-27,0.160,0.160,0.160
2014-05-28,0.150,0.150,0.150
2014-05-29,0.140,0.140,0.140
2014-05-30,0.140,0.140,0.140
2014-05-31,0.140,0.140,0.140
2014-06-01,0.130,0.130,0.130
2014-06-02,0.130,0.130,0.130
2014-06-03,0.130,0.130,0.130
2014-06-04,0.130,0.130,0.130
2014-06-05,0.130,0.130,0.130
2014-06-06,0.120,0.120,0.120
2014-06-07,0.120,0.120,0.120
2014-06-08,0.110,0.110,0.120
2014-06-09,0.110,0.110,0.110
2014-06-10,0.110,0.110,0.110
2014-06-11,0.110,0.110,0.110
2014-06-12,0.100,0.100,0.100
2014-06-13,0.100,0.100,0.100
2014-06-14,0.100,0.100,0.100
2014-06-15,0.100,0.100,0.100
2014-06-16,0.100,0.100,0.100
2014-06-17,0.090,0.090,0.090
2014-06-18,0.090,0.090,0.090
2014-06-19,0.090,0.090,0.090
2014-06-20,0.080,0.080,0.080
2014-06-21,0.080,0.080,0.080
2014-06-22,0.080,0.080,0.080
2014-06-23,0.080,0.080,0.080
2014-06-24,0.080,0.080,0.080
2014-06-25,0.080,0.080,0.080
2014-06-26,0.080,0.080,0.080
2014-06-27,0.070,0.070,0.070
2014-06-28,0.070,0.070,0.070
2014-06-29,0.070,0.070,0.070
2014-06-30,0.070,0.070,0.070
2014-07-01,0.070,0.070,0.070
2014-07-02,0.070,0.070,0.070
2014-07-03,0.060,0.220,0.370
2014-07-04,0.060,0.060,0.060
2014-07-05,0.060,0.060,0.060
2014-07-06,0.060,0.060,0.060
2014-07-07,0.060,0.060,0.060
2014-07-08,0.060,0.060,0.060
2014-07-09,0.060,0.060,0.060
2014-07-10,0.060,0.220,0.370
2014-07-11,0.050,0.220,0.380
2014-07-12,0.050,0.050,0.050
2014-07-13,0.050,0.050,0.050
2014-07-14,0.050,0.050,0.050
2014-07-15,0.050,0.050,0.050
2014-07-16,0.050,0.050,0.050
2014-07-17,0.050,0.050,0.050
